P11,\sigma_{sca} radii (um),\sigma_{sca} (m^{2}),radii (um)
4.7210220861181e-09,1.01760454768419e-05,3.25317893164537e-22,0.01
3.03209709391192e-07,8.15516167280259e-05,2.08936840469817e-20,0.02
3.47268498485926e-06,0.000275990235922388,2.39297029814886e-19,0.03
1.96456318292153e-05,0.00065643846839749,1.35374828585511e-18,0.04
7.54979943167563e-05,0.00128685238040373,5.20244303060881e-18,0.05
0.000227001213227686,0.00223138809791842,1.56422814987816e-17,0.06
0.000575416506746722,0.00355264801548164,3.96510082461534e-17,0.07
0.00128494340364405,0.0053088813922316,8.85433436412638e-17,0.08
0.00259898251473678,0.00755027381642027,1.79091624788575e-16,0.09
0.00485071048789916,0.0103148686131844,3.34254508343557e-16,0.1
0.00846378697395664,0.013625215662478,5.83225686373573e-16,0.11
0.0139420305967211,0.0174873514710761,9.6072247437636e-16,0.12
0.021853437155334,0.0218937875645937,1.50588453180115e-15,0.13
0.0328218123319487,0.0268313362615009,2.26169728565092e-15,0.14
0.0475426283221786,0.032292570528623,3.27608458489403e-15,0.15
0.0668308580643582,0.0382868416145975,4.60520487879186e-15,0.16
0.0916832722685393,0.04484417882567,6.31774400304843e-15,0.17
0.123300559656446,0.0520048139509184,8.49643944928581e-15,0.18
0.162983637372085,0.0597906157556191,1.12309352854091e-14,0.19
0.211830865865465,0.0681640904078915,1.45969177295751e-14,0.2
0.270268683945831,0.0769943552451571,1.8623771981102e-14,0.21
0.337649515609333,0.0860585627245727,2.32668746390835e-14,0.22
0.412294113364394,0.0950965124789462,2.841051151153e-14,0.23
0.492182842543439,0.103902083934875,3.39155128841223e-14,0.24
0.576022825116662,0.11240376789886,3.96927886511373e-14,0.25
0.66409895673282,0.120691704863693,4.57619705047242e-14,0.26
0.758492778810919,0.128984269478516,5.22664940519642e-14,0.27
0.862629371487071,0.137553974582064,5.94423759505798e-14,0.28
0.980266348844161,0.146633455868217,6.75485472274696e-14,0.29
1.11404661045558,0.156319336818273,7.67671257599441e-14,0.3
1.26397400438686,0.166506079102101,8.70983767118921e-14,0.31
1.42665274783345,0.17689687533206,9.83083022566832e-14,0.32
1.59616784922866,0.18711142336681,1.09989310021425e-13,0.33
1.76647179924844,0.196840462760592,1.2172467605179e-13,0.34
1.93390828899288,0.205958139733066,1.33262450094977e-13,0.35
2.09851886428302,0.214544537699573,1.44605495005412e-13,0.36
2.26382157078903,0.222834340585764,1.55996233543377e-13,0.37
2.43537987455422,0.231123645764159,1.67818035034178e-13,0.38
2.61841892700151,0.23965174128166,1.80430956097198e-13,0.39
2.81495581899864,0.248483075979064,1.93973991157682e-13,0.4
3.02183471542208,0.257452062953922,2.0822967679037e-13,0.41
3.23150090780182,0.266233783604158,2.22677430418418e-13,0.42
3.43564946055393,0.274514599366182,2.36744972544347e-13,0.43
3.62921617825869,0.282141806153994,2.50083337763109e-13,0.44
3.81203939755942,0.289160996881939,2.62681386117798e-13,0.45
3.98799053816453,0.295759077327147,2.74805890794415e-13,0.46
4.16295236434317,0.302177235562538,2.86862223435607e-13,0.47
4.3424577297446,0.308623379732872,2.99231643916786e-13,0.48
4.52900902798976,0.315182877598639,3.12086588080397e-13,0.49
4.71985294261423,0.321754964693202,3.25237329402167e-13,0.5
4.90743840299284,0.328086568835594,3.38163535983177e-13,0.51
5.08364379414661,0.333924726756673,3.5030556064833e-13,0.52
5.24490289921091,0.339179619986066,3.61417661239295e-13,0.53
5.39421334189151,0.343973576875786,3.71706399091878e-13,0.54
5.53948889229909,0.348574707027221,3.81717099131998e-13,0.55
5.69031058501226,0.353288099761744,3.92109974747054e-13,0.56
5.85430652188679,0.358342856993239,4.03410665931796e-13,0.57
6.03323592129188,0.363777787423939,4.157403975403e-13,0.58
6.22017055730045,0.369370468024487,4.28621756880814e-13,0.59
6.40137736196391,0.374712117771019,4.41108420752507e-13,0.6
6.56398919363621,0.379441607723321,4.52313735516615e-13,0.61
6.70373405748407,0.383459420549168,4.61943325011912e-13,0.62
6.82649901629385,0.38695462253241,4.70402857084822e-13,0.63
6.94449300664946,0.390284492588034,4.78533629542217e-13,0.64
7.07113578233662,0.393827112709792,4.87260375619554e-13,0.65
7.21627839775332,0.397848443092827,4.97261915327363e-13,0.66
7.38137581401082,0.4023737882604,5.08638507650819e-13,0.67
7.55650800654005,0.407119211290219,5.20706579957963e-13,0.68
7.72448219926704,0.411619282633285,5.32281406232265e-13,0.69
7.87239282317103,0.415541498394438,5.4247368486756e-13,0.7
8.00048434074867,0.418908490545342,5.51300261373765e-13,0.71
8.12062930300002,0.422042188153117,5.59579253778582e-13,0.72
8.24885277659892,0.425361128331635,5.68414923157907e-13,0.73
8.39848037069662,0.429201646009147,5.7872551539476e-13,0.74
8.57474356084938,0.433682196085673,5.90871522894188e-13,0.75
8.76966098978416,0.438583637979655,6.043029634097e-13,0.76
8.96112175172131,0.443345405453644,6.17496210668639e-13,0.77
9.12429147620736,0.447363552319129,6.28739968912034e-13,0.78
9.25085550541932,0.450455580776066,6.37461288698849e-13,0.79
9.35632930301048,0.453016241363873,6.44729315196186e-13,0.8
9.4703749406649,0.45576881879728,6.52588013141157e-13,0.81
9.62389168795629,0.459448022241662,6.63166600549413e-13,0.82
9.84015104243213,0.464581493145221,6.78068678169866e-13,0.83
10.1259454254053,0.47127978791158,6.97762300620917e-13,0.84
10.4596397406212,0.478982213141975,7.20756628884331e-13,0.85
10.7878456934123,0.486438998859267,7.43372763089681e-13,0.86
11.0525076867297,0.492369832552001,7.61610187210173e-13,0.87
11.2338835380849,0.496393380766861,7.74108499812287e-13,0.88
11.3603033163341,0.499178632101375,7.82819879501716e-13,0.89
11.4840651472564,0.501890351613401,7.91348104397805e-13,0.9
11.6590938543528,0.50570054567273,8.03409045693409e-13,0.91
11.9287260527105,0.51151462522902,8.2198895849597e-13,0.92
12.3106477709349,0.519638685954386,8.48306558045422e-13,0.93
12.7719983656044,0.529286053009515,8.80097471269358e-13,0.94
13.2206262471995,0.538501648269086,9.11011683190658e-13,0.95
13.5599882354729,0.545369290615099,9.34396561513903e-13,0.96
13.7659134903185,0.549494741958677,9.48586533268689e-13,0.97
13.8860150452012,0.551886586595362,9.56862534542886e-13,0.98
13.992026718584,0.55398924812033,9.64167625179332e-13,0.99
14.1543210701973,0.557192862324234,9.75351062912989e-13,1
14.4337473940298,0.562665870818335,9.94605872847303e-13,1.01
14.8620538829193,0.570953104656107,1.02411977090848e-12,1.02
15.397654415732,0.581150086987945,1.06102712565795e-12,1.03
15.9039394274827,0.590627113014538,1.09591439590559e-12,1.04
16.2435220889964,0.596899375840788,1.1193144804601e-12,1.05
16.3971758757866,0.599715882469787,1.12990251103558e-12,1.06
16.4384077143096,0.600469422696531,1.13274372944018e-12,1.07
16.4607692395497,0.600877699735511,1.13428462548903e-12,1.08
16.5552101666948,0.60259895237379,1.14079239496923e-12,1.09
16.8038178301608,0.607106671612104,1.15792354153622e-12,1.1
17.2492026445115,0.615099728392104,1.18861427900981e-12,1.11
17.8226770773525,0.625241062253793,1.2281314621266e-12,1.12
18.3189368923731,0.633885994603792,1.26232791250108e-12,1.13
18.569225532575,0.638201643972869,1.27957489241945e-12,1.14
18.5879845414559,0.638523924732917,1.28086754497131e-12,1.15
18.4789211702682,0.63664792727159,1.27335216684153e-12,1.16
18.3514768938248,0.634448731940329,1.26457019066092e-12,1.17
18.3181806399243,0.633872910253262,1.26227580038449e-12,1.18
18.4887513774439,0.636817243133459,1.27402955030415e-12,1.19
18.9213211000797,0.644223778946123,1.3038372208144e-12,1.2
19.5083043143747,0.654140116414331,1.34428527191734e-12,1.21
19.9586041961579,0.661646631660792,1.37531469863082e-12,1.22
20.0963630476505,0.663926123230088,1.38480743527023e-12,1.23
19.9860956448133,0.662102158631269,1.37720908929316e-12,1.24
19.7428963581143,0.65806145885883,1.36045062510366e-12,1.25
19.4835454534946,0.653724885396996,1.34257917939929e-12,1.26
19.348301839066,0.651452042449975,1.33325976362293e-12,1.27
19.481596820453,0.653692193663149,1.34244490229063e-12,1.28
19.9525651846856,0.66154652461281,1.37489856024953e-12,1.29
20.5748621646988,0.671783743782814,1.41778002506111e-12,1.3
20.9479603456686,0.677847337670603,1.44348960912205e-12,1.31
20.9583735869164,0.678015795858202,1.44420716850685e-12,1.32
20.7428127301885,0.674520023275796,1.42935322322122e-12,1.33
20.4005357635763,0.668931749947808,1.40576747851893e-12,1.34
20.0537176133907,0.663221307778252,1.3818688083006e-12,1.35
19.878774123959,0.660322084609008,1.36981373921458e-12,1.36
20.0568004716519,0.663272284329168,1.3820812430099e-12,1.37
20.6535560493109,0.673067223088895,1.4232026916532e-12,1.38
21.344817362721,0.68423808672292,1.4708363756315e-12,1.39
21.6255910697597,0.688723681508382,1.4901840315339e-12,1.4
21.5366978865186,0.687306705555437,1.48405854799217e-12,1.41
21.2495900419415,0.682710057809774,1.46427441705503e-12,1.42
20.8154496631208,0.675700004233102,1.43435851520173e-12,1.43
20.3891439592115,0.668744955742321,1.40498248795382e-12,1.44
20.2107779446802,0.665813410625939,1.39269157827345e-12,1.45
20.5167221484598,0.670833916063608,1.41377369184631e-12,1.46
21.3613032515565,0.684502274876306,1.47197239120717e-12,1.47
22.1875280319103,0.697614473901664,1.52890618645786e-12,1.48
22.4353413306089,0.701499496610968,1.54598259465088e-12,1.49
22.3922389021718,0.700825317694656,1.5430124769616e-12,1.5
22.1526814821752,0.697066440571561,1.52650496783675e-12,1.51
21.6840013940319,0.689653169306073,1.49420899123218e-12,1.52
21.2048398656322,0.681990808705705,1.46119075576091e-12,1.53
21.0358764711545,0.67926827112983,1.44954776521548e-12,1.54
21.4936980425921,0.686620229667241,1.48109549923336e-12,1.55
22.6410922735308,0.704708825434227,1.56016055485674e-12,1.56
23.5961806561932,0.719418960109315,1.62597412970683e-12,1.57
23.8588016762826,0.723411380488587,1.64407091370778e-12,1.58
23.9738410322095,0.725153310063846,1.65199808714999e-12,1.59
23.8370149882744,0.723081013148911,1.64256962875029e-12,1.6
23.3583890289106,0.715784791740254,1.60958829846338e-12,1.61
22.8609049040885,0.708121420088903,1.57530748290739e-12,1.62
22.7370612311714,0.706200773259982,1.56677361841359e-12,1.63
23.3806196997314,0.716125324467675,1.61112017754869e-12,1.64
24.8061075563442,0.737632994025234,1.70934820906087e-12,1.65
25.6969275333786,0.750760859748224,1.77073315342913e-12,1.66
25.9527199958586,0.754488220419651,1.78835939271873e-12,1.67
26.2628273222169,0.758982499626382,1.80972838024421e-12,1.68
26.1856670077307,0.757866732352303,1.80441138945563e-12,1.69
25.6358828757872,0.749868589847369,1.76652666614008e-12,1.7
25.0715803147615,0.741569531308212,1.72764150167537e-12,1.71
24.9438839725776,0.739678613360324,1.71884215605778e-12,1.72
25.7473447654105,0.751496993214076,1.77420732224356e-12,1.73
27.3449820336124,0.774461520097756,1.88429788751773e-12,1.74
27.9760105313561,0.783346512892503,1.92778102690325e-12,1.75
28.2918466781241,0.787755911696036,1.94954477805237e-12,1.76
28.8043322432024,0.794858694163943,1.98485931826575e-12,1.77
28.6981924632905,0.793392873173897,1.97754540001839e-12,1.78
28.0258013819176,0.784043291123956,1.93121203279733e-12,1.79
27.3756288925688,0.774895387022169,1.8864097123315e-12,1.8
27.2220587439277,0.77271884961982,1.87582744512377e-12,1.81
28.1837553708156,0.786249628750694,1.94209638325108e-12,1.82
29.7140218745238,0.807312621819932,2.04754453957944e-12,1.83
29.9295490548131,0.8102352055526,2.06239616427689e-12,1.84
30.3958542330586,0.816522580934383,2.0945284897334e-12,1.85
31.0965940819204,0.825880924777879,2.14281532405228e-12,1.86
30.9313414099423,0.823683564660824,2.13142803331162e-12,1.87
30.2205694152184,0.814164842484126,2.08244990026627e-12,1.88
29.6121431117017,0.80592744023213,2.04052424103499e-12,1.89
29.5800225438747,0.805490223130924,2.03831086535868e-12,1.9
30.874746071922,0.822929669244586,2.12752814134081e-12,1.91
32.0449720507376,0.838380120105884,2.20816649528414e-12,1.92
31.9470967277923,0.837098804000456,2.20142206721909e-12,1.93
32.6674534658558,0.846483824660048,2.25106066921647e-12,1.94
33.4107663232535,0.856060072402832,2.30228113976707e-12,1.95
33.0526334879,0.851459620802195,2.27760279314107e-12,1.96
32.3143195641354,0.841896164249394,2.22672679091278e-12,1.97
31.8050227262764,0.835235371809796,2.19163198066505e-12,1.98
32.0239014015069,0.838104443188017,2.20671455138507e-12,1.99
33.7198298244808,0.860010413929524,2.32357819901383e-12,2
34.1708179863392,0.865742445669704,2.35465505397906e-12,2.01
