adc,ScatteringCross_section_m2,Water,Silica,Glass,PSL,Dust
10,2.00888102637311e-13,0.568609766775488,0.487305982920204,0.554399069413272,0.698754982091452,0.538301552663806
92,1.55218020474378e-12,2.26433956837087,2.11078993270695,2.08829749549849,2.01200198564407,2.17491099793136
208,3.46376415406513e-12,3.50263796084228,3.27345876577493,3.1669450830806,3.15835568792276,3.5794772263548
328,5.44126479129412e-12,4.3146500831694,4.10049917382851,4.03936269681765,4.027167383457,4.65274295449784
451,7.46820294445382e-12,5.16412457452463,4.88813480368834,4.73394263392424,4.72277503991504,5.71363609056626
578,9.56105778552116e-12,5.86387900270542,5.53919726854392,5.39907385481684,5.38691688295592,6.75570320156142
708,1.17033501425192e-11,6.51950901672289,6.13874140600828,6.03267538486055,5.99008926792831,7.67456151920262
842,1.39115591874249e-11,7.13480566308676,6.70648985157433,6.58580879361511,6.49834378073658,8.6159534677234
979,1.61692057482613e-11,7.7288306983213,7.28562849305303,7.06379645262056,7.06437573137726,9.54698755411302
1119,1.84762898250285e-11,8.326085090679,7.7925437271046,7.68057342827879,7.57380855230971,10.5242629157169
1263,2.08492905897033e-11,8.8522061345207,8.24953239586095,8.10933391681426,8.06996960652736,11.5718137636052
1411,2.32882080422857e-11,9.31273117068516,8.76226483637564,8.59551198303264,8.51813873760119,12.5740504540143
1562,2.57765630107988e-11,9.84564349171534,9.24893660320998,9.03085199877489,8.92308273861847,13.6104075408542
1716,2.83143554952427e-11,10.3058079425628,9.60201126244626,9.49477847806906,9.44834853941667,14.7053017263953
1874,3.09180646675942e-11,10.7874744237951,10.1465072887058,9.93014532277019,9.8728525732654,15.9008612659934
4095,6.75183056283073e-11,16.1680798887437,15.1250227072126,14.8059569804361,14.7078357613677,NaN
