adc,\sigma_{sca} (m^{2})
0,3.60963828682291e-14
1,5.25755548451373e-14
2,6.90547268220455e-14
3,8.55338987989537e-14
4,1.02013070775862e-13
5,1.1849224275277e-13
6,1.34971414729678e-13
7,1.51450586706586e-13
8,1.67929758683495e-13
9,1.84408930660403e-13
10,2.00888102637311e-13
11,2.17367274614219e-13
12,2.33846446591127e-13
13,2.50325618568036e-13
14,2.66804790544944e-13
15,2.83283962521852e-13
16,2.9976313449876e-13
17,3.16242306475668e-13
18,3.32721478452577e-13
19,3.49200650429485e-13
20,3.65679822406393e-13
21,3.82158994383301e-13
22,3.98638166360209e-13
23,4.15117338337117e-13
24,4.31596510314026e-13
25,4.48075682290934e-13
26,4.64554854267842e-13
27,4.8103402624475e-13
28,4.97513198221658e-13
29,5.13992370198567e-13
30,5.30471542175475e-13
31,5.46950714152383e-13
32,5.63429886129291e-13
33,5.79909058106199e-13
34,5.96388230083108e-13
35,6.12867402060016e-13
36,6.29346574036924e-13
37,6.45825746013832e-13
38,6.6230491799074e-13
39,6.78784089967648e-13
40,6.95263261944557e-13
41,7.11742433921465e-13
42,7.28221605898373e-13
43,7.44700777875281e-13
44,7.61179949852189e-13
45,7.77659121829098e-13
46,7.94138293806006e-13
47,8.10617465782914e-13
48,8.27096637759822e-13
49,8.4357580973673e-13
50,8.60054981713639e-13
51,8.76534153690547e-13
52,8.93013325667455e-13
53,9.09492497644363e-13
54,9.25971669621271e-13
55,9.42450841598179e-13
56,9.58930013575088e-13
57,9.75409185551996e-13
58,9.91888357528904e-13
59,1.00836752950581e-12
60,1.02484670148272e-12
61,1.04132587345963e-12
62,1.05780504543654e-12
63,1.07428421741344e-12
64,1.09076338939035e-12
65,1.10724256136726e-12
66,1.12372173334417e-12
67,1.14020090532108e-12
68,1.15668007729799e-12
69,1.17315924927489e-12
70,1.1896384212518e-12
71,1.20611759322871e-12
72,1.22259676520562e-12
73,1.23907593718253e-12
74,1.25555510915943e-12
75,1.27203428113634e-12
76,1.28851345311325e-12
77,1.30499262509016e-12
78,1.32147179706707e-12
79,1.33795096904398e-12
80,1.35443014102088e-12
81,1.37090931299779e-12
82,1.3873884849747e-12
83,1.40386765695161e-12
84,1.42034682892852e-12
85,1.43682600090543e-12
86,1.45330517288233e-12
87,1.46978434485924e-12
88,1.48626351683615e-12
89,1.50274268881306e-12
90,1.51922186078997e-12
91,1.53570103276687e-12
92,1.55218020474378e-12
93,1.56865937672069e-12
94,1.5851385486976e-12
95,1.60161772067451e-12
96,1.61809689265142e-12
97,1.63457606462832e-12
98,1.65105523660523e-12
99,1.66753440858214e-12
100,1.68401358055905e-12
101,1.70049275253596e-12
102,1.71697192451286e-12
103,1.73345109648977e-12
104,1.74993026846668e-12
105,1.76640944044359e-12
106,1.7828886124205e-12
107,1.79936778439741e-12
108,1.81584695637431e-12
109,1.83232612835122e-12
110,1.84880530032813e-12
111,1.86528447230504e-12
112,1.88176364428195e-12
113,1.89824281625885e-12
114,1.91472198823576e-12
115,1.93120116021267e-12
116,1.94768033218958e-12
117,1.96415950416649e-12
118,1.9806386761434e-12
119,1.9971178481203e-12
120,2.01359702009721e-12
121,2.03007619207412e-12
122,2.04655536405103e-12
123,2.06303453602794e-12
124,2.07951370800484e-12
125,2.09599287998175e-12
126,2.11247205195866e-12
127,2.12895122393557e-12
128,2.14543039591248e-12
129,2.16190956788939e-12
130,2.17838873986629e-12
131,2.1948679118432e-12
132,2.21134708382011e-12
133,2.22782625579702e-12
134,2.24430542777393e-12
135,2.26078459975083e-12
136,2.27726377172774e-12
137,2.29374294370465e-12
138,2.31022211568156e-12
139,2.32670128765847e-12
140,2.34318045963538e-12
141,2.35965963161228e-12
142,2.37613880358919e-12
143,2.3926179755661e-12
144,2.40909714754301e-12
145,2.42557631951992e-12
146,2.44205549149682e-12
147,2.45853466347373e-12
148,2.47501383545064e-12
149,2.49149300742755e-12
150,2.50797217940446e-12
151,2.52445135138137e-12
152,2.54093052335827e-12
153,2.55740969533518e-12
154,2.57388886731209e-12
155,2.590368039289e-12
156,2.60684721126591e-12
157,2.62332638324281e-12
158,2.63980555521972e-12
159,2.65628472719663e-12
160,2.67276389917354e-12
161,2.68924307115045e-12
162,2.70572224312736e-12
163,2.72220141510426e-12
164,2.73868058708117e-12
165,2.75515975905808e-12
166,2.77163893103499e-12
167,2.7881181030119e-12
168,2.8045972749888e-12
169,2.82107644696571e-12
170,2.83755561894262e-12
171,2.85403479091953e-12
172,2.87051396289644e-12
173,2.88699313487335e-12
174,2.90347230685025e-12
175,2.91995147882716e-12
176,2.93643065080407e-12
177,2.95290982278098e-12
178,2.96938899475789e-12
179,2.98586816673479e-12
180,3.0023473387117e-12
181,3.01882651068861e-12
182,3.03530568266552e-12
183,3.05178485464243e-12
184,3.06826402661934e-12
185,3.08474319859624e-12
186,3.10122237057315e-12
187,3.11770154255006e-12
188,3.13418071452697e-12
189,3.15065988650388e-12
190,3.16713905848078e-12
191,3.18361823045769e-12
192,3.2000974024346e-12
193,3.21657657441151e-12
194,3.23305574638842e-12
195,3.24953491836533e-12
196,3.26601409034223e-12
