adc,\sigma_{sca} (m^{2})
0,3.54233999702429e-12
1,3.59334413645623e-12
2,3.64434827588817e-12
3,3.69535241532011e-12
4,3.74635655475205e-12
5,3.79736069418399e-12
6,3.84836483361593e-12
7,3.89936897304787e-12
8,3.95037311247981e-12
9,4.00137725191175e-12
10,4.05238139134369e-12
11,4.10338553077562e-12
12,4.15438967020756e-12
13,4.2053938096395e-12
14,4.25639794907144e-12
15,4.30740208850338e-12
16,4.35840622793532e-12
17,4.40941036736726e-12
18,4.4604145067992e-12
19,4.51141864623114e-12
20,4.56242278566308e-12
21,4.61342692509502e-12
22,4.66443106452696e-12
23,4.7154352039589e-12
24,4.76643934339084e-12
25,4.81744348282277e-12
26,4.86844762225471e-12
27,4.91945176168665e-12
28,4.97045590111859e-12
29,5.02146004055053e-12
30,5.07246417998247e-12
31,5.12346831941441e-12
32,5.17447245884635e-12
33,5.22547659827829e-12
34,5.27648073771023e-12
35,5.32748487714217e-12
36,5.37848901657411e-12
37,5.42949315600605e-12
38,5.48049729543798e-12
39,5.53150143486992e-12
40,5.58250557430186e-12
41,5.6335097137338e-12
42,5.68451385316574e-12
43,5.73551799259768e-12
44,5.78652213202962e-12
45,5.83752627146156e-12
46,5.8885304108935e-12
47,5.93953455032544e-12
48,5.99053868975738e-12
49,6.04154282918932e-12
50,6.09254696862126e-12
51,6.1435511080532e-12
52,6.19455524748513e-12
53,6.24555938691707e-12
54,6.29656352634901e-12
55,6.34756766578095e-12
56,6.39857180521289e-12
57,6.44957594464483e-12
58,6.50058008407677e-12
59,6.55158422350871e-12
60,6.60258836294065e-12
61,6.65359250237259e-12
62,6.70459664180453e-12
63,6.75560078123647e-12
64,6.80660492066841e-12
65,6.85760906010035e-12
66,6.90861319953229e-12
67,6.95961733896422e-12
68,7.01062147839616e-12
69,7.0616256178281e-12
70,7.11262975726004e-12
71,7.16363389669198e-12
72,7.21463803612392e-12
73,7.26564217555586e-12
74,7.3166463149878e-12
75,7.36765045441974e-12
76,7.41865459385168e-12
77,7.46965873328362e-12
78,7.52066287271556e-12
79,7.5716670121475e-12
80,7.62267115157943e-12
81,7.67367529101137e-12
82,7.72467943044331e-12
83,7.77568356987525e-12
84,7.82668770930719e-12
85,7.87769184873913e-12
86,7.92869598817107e-12
87,7.97970012760301e-12
88,8.03070426703495e-12
89,8.08170840646689e-12
90,8.13271254589883e-12
91,8.18371668533077e-12
92,8.23472082476271e-12
93,8.28572496419464e-12
94,8.33672910362658e-12
95,8.38773324305852e-12
96,8.43873738249046e-12
97,8.4897415219224e-12
98,8.54074566135434e-12
99,8.59174980078628e-12
100,8.64275394021822e-12
101,8.69375807965016e-12
102,8.7447622190821e-12
103,8.79576635851404e-12
104,8.84677049794598e-12
105,8.89777463737792e-12
106,8.94877877680986e-12
107,8.9997829162418e-12
108,9.05078705567373e-12
109,9.10179119510567e-12
110,9.15279533453761e-12
111,9.20379947396955e-12
112,9.25480361340149e-12
113,9.30580775283343e-12
114,9.35681189226537e-12
115,9.40781603169731e-12
116,9.45882017112925e-12
117,9.50982431056119e-12
118,9.56082844999313e-12
119,9.61183258942507e-12
120,9.662836728857e-12
121,9.71384086828894e-12
122,9.76484500772088e-12
123,9.81584914715282e-12
124,9.86685328658476e-12
125,9.9178574260167e-12
126,9.96886156544864e-12
127,1.00198657048806e-11
128,1.00708698443125e-11
129,1.01218739837445e-11
130,1.01728781231764e-11
131,1.02238822626083e-11
132,1.02748864020403e-11
133,1.03258905414722e-11
134,1.03768946809042e-11
135,1.04278988203361e-11
136,1.0478902959768e-11
137,1.05299070992e-11
138,1.05809112386319e-11
139,1.06319153780639e-11
140,1.06829195174958e-11
141,1.07339236569277e-11
142,1.07849277963597e-11
143,1.08359319357916e-11
144,1.08869360752235e-11
145,1.09379402146555e-11
146,1.09889443540874e-11
147,1.10399484935194e-11
148,1.10909526329513e-11
149,1.11419567723832e-11
150,1.11929609118152e-11
151,1.12439650512471e-11
152,1.12949691906791e-11
153,1.1345973330111e-11
154,1.13969774695429e-11
155,1.14479816089749e-11
156,1.14989857484068e-11
157,1.15499898878388e-11
158,1.16009940272707e-11
159,1.16519981667026e-11
160,1.17030023061346e-11
161,1.17540064455665e-11
162,1.18050105849985e-11
163,1.18560147244304e-11
164,1.19070188638623e-11
165,1.19580230032943e-11
166,1.20090271427262e-11
167,1.20600312821582e-11
168,1.21110354215901e-11
169,1.2162039561022e-11
170,1.2213043700454e-11
171,1.22640478398859e-11
172,1.23150519793178e-11
173,1.23660561187498e-11
174,1.24170602581817e-11
175,1.24680643976137e-11
176,1.25190685370456e-11
177,1.25700726764775e-11
178,1.26210768159095e-11
179,1.26720809553414e-11
180,1.27230850947734e-11
181,1.27740892342053e-11
182,1.28250933736372e-11
183,1.28760975130692e-11
184,1.29271016525011e-11
185,1.29781057919331e-11
186,1.3029109931365e-11
187,1.30801140707969e-11
188,1.31311182102289e-11
189,1.31821223496608e-11
190,1.32331264890928e-11
191,1.32841306285247e-11
192,1.33351347679566e-11
193,1.33861389073886e-11
194,1.34371430468205e-11
195,1.34881471862524e-11
196,1.35391513256844e-11
197,1.35901554651163e-11
198,1.36411596045483e-11
199,1.36921637439802e-11
200,1.37431678834121e-11
201,1.37941720228441e-11
202,1.3845176162276e-11
203,1.3896180301708e-11
204,1.39471844411399e-11
205,1.39981885805718e-11
206,1.40491927200038e-11
207,1.41001968594357e-11
208,1.41512009988677e-11
209,1.42022051382996e-11
210,1.42532092777315e-11
211,1.43042134171635e-11
212,1.43552175565954e-11
