adc,ScatteringCross_section_m2,Water,Silica,Glass,PSL,Dust
0,4.1031955822397e-12,3.77406449073732,3.52849777671976,3.51226267539087,3.41634234591378,3.95163943878993
1,4.14539853729785e-12,3.779403132428,3.53127374437293,3.52217048659312,3.42324223002843,3.96528622394517
2,4.18760149235601e-12,3.81158058810181,3.55765625193406,3.55777010772213,3.47847851277922,4.02068942459689
3,4.22980444741416e-12,3.83082776102056,3.59813792273491,3.5702191600104,3.52089483207843,4.02890653411089
4,4.27200740247232e-12,3.8582430579731,3.5896858555331,3.57830263814232,3.46868277579793,4.03601317860351
5,4.31421035753047e-12,3.86314916726531,3.60385527852703,3.58785512345666,3.48957956256402,4.09829494619997
6,4.35641331258863e-12,3.91649100382014,3.61170669419756,3.62005394758265,3.59901546226455,4.10792465614145
7,4.39861626764678e-12,3.89502551697524,3.62950302868558,3.59797322025838,3.58131686310449,4.11513409834167
8,4.44081922270494e-12,3.88956466054694,3.68128500825111,3.64120677617579,3.64182383971617,4.16318069895932
9,4.48302217776309e-12,3.92022624769975,3.66535160254933,3.65040986292868,3.65356203000854,4.19018530590046
10,4.52522513282125e-12,3.95361198484373,3.71923307955528,3.65832303095208,3.67542554868335,4.19885165385106
11,4.5674280878794e-12,4.00503811614082,3.69827046854068,3.69107247211822,3.68838670974069,4.26554471733047
12,4.60963104293756e-12,4.02717172573885,3.7643288865854,3.69758479408039,3.71685413929772,4.2747613011457
13,4.65183399799571e-12,4.03250949890673,3.75274563452908,3.6756883215027,3.63997007216819,4.30655157812584
14,4.69403695305387e-12,4.0387646307482,3.82000528394888,3.72457239385115,3.74663558686742,4.34829760243808
15,4.73623990811202e-12,4.08713310618196,3.79161286015021,3.7310253093078,3.72184166662027,4.3589932518564
16,4.77844286317018e-12,4.07023776468562,3.83563213326214,3.75328169473305,3.76300683899251,4.3799926470781
17,4.82064581822833e-12,4.11526462848618,3.85020817356513,3.77886783195451,3.77385688943952,4.41185695364473
18,4.86284877328649e-12,4.12107077410155,3.88105712823089,3.76446022582808,3.75707169783977,4.43332064253419
19,4.90505172834464e-12,4.12809721476583,3.87643188766766,3.80660721814533,3.81304698555959,4.44632445494905
20,4.9472546834028e-12,4.13781917249757,3.92293661335463,3.8287295782416,3.78227803427108,4.45903586763177
21,4.98945763846095e-12,4.19424670806515,3.92969137051966,3.82782746154982,3.83788398885457,4.46809597214117
22,5.03166059351911e-12,4.20065083135828,3.88785046944038,3.8799786014042,3.84606587660995,4.48623179801307
23,5.07386354857726e-12,4.20595496442989,3.96900898207687,3.92010803357121,3.86553888651604,4.51840951345641
24,5.11606650363542e-12,4.21287429096807,3.96677007786863,3.92120291215938,3.89860824816121,4.53097114312941
25,5.15826945869357e-12,4.22246362413934,3.98311036862401,3.90473241708551,3.90881093434808,4.54044031979586
26,5.20047241375173e-12,4.25314850206497,4.01082255776688,3.95316815059357,3.91714234594976,4.54736493665917
27,5.24267536880988e-12,4.25745774100788,4.01932783657759,3.97200403738944,3.93496797723478,4.56483177951554
28,5.28487832386804e-12,4.28820547782264,4.03922480826296,3.98131031182708,3.97003644164976,4.60064658932796
29,5.32708127892619e-12,4.29355402999544,4.04479128810246,3.97722356638716,3.97391016431145,4.61510524641149
30,5.36928423398435e-12,4.30476801575874,4.04696122133017,4.00558292686004,3.98673011547241,4.62279177986678
31,5.4114871890425e-12,4.31073506794535,4.09724417807061,4.02794526163737,3.99797521703265,4.6678999661299
32,5.45369014410066e-12,4.34979642189477,4.10902946620899,4.040539532621,4.04408658543885,4.690829288121
33,5.49589309915881e-12,4.33877632574754,4.14559236488704,4.0862241176441,4.04914544884885,4.69964741872488
34,5.53809605421697e-12,4.37437937450504,4.13383269345477,4.08210191815178,4.02935783514037,4.74996638108465
35,5.58029900927512e-12,4.37961520672678,4.17526155508262,4.10507643830867,4.06571452341109,4.7197760140299
36,5.62250196433328e-12,4.38790338839495,4.19478860944114,4.09749250202033,4.07479765790103,4.78187536145087
37,5.66470491939143e-12,4.39920504147109,4.21106292887634,4.08159700618595,4.11632189974263,4.79084432614822
38,5.70690787444959e-12,4.43302992260544,4.24267665615492,4.13105859107722,4.11730149335347,4.81146521271539
39,5.74911082950774e-12,4.457268816551,4.25337161167529,4.13461672815012,4.12957389407789,4.86379941297861
40,5.7913137845659e-12,4.46204332323497,4.27567544166562,4.18238264989438,4.13628527646028,4.90972313238963
41,5.83351673962405e-12,4.47990635568987,4.29435551667963,4.19790015701258,4.15075855026194,4.93650686007532
42,5.87571969468221e-12,4.48511161614583,4.31443086668021,4.2396194388049,4.18485144431249,4.94213210755407
43,5.91792264974036e-12,4.52911479940946,4.18942645137961,4.14019963404275,4.17546388136471,4.94796196332559
44,5.96012560479852e-12,4.52464044538119,4.34986821241113,4.21926952409884,4.19705902288541,5.00634068684141
45,6.00232855985667e-12,4.54797263618251,4.35855708826538,4.27607139488628,4.20090239034617,5.01698395144778
46,6.04453151491483e-12,4.55324604992585,4.37789249622462,4.29106542536314,4.18521589988353,5.02227271698835
47,6.08673446997298e-12,4.57344016745599,4.40441383022703,4.31723949828844,4.2430139864911,5.02799561899386
48,6.12893742503114e-12,4.59702580082088,4.41017419864872,4.33947423736781,4.268278502278,5.09106617131134
49,6.1711403800893e-12,4.63824063590682,4.41447764426242,4.35379673228312,4.25810551526214,5.09779629758565
50,6.21334333514745e-12,4.64199976794187,4.44299106637808,4.36406001077868,4.28113410180449,5.10324114223647
51,6.25554629020561e-12,4.66024464259699,4.46233045654789,4.39463643925372,4.31116314491132,5.10944345471408
52,6.29774924526376e-12,4.68234575823268,4.48028434533505,4.40749353460421,4.30260831357021,5.15932364473106
53,6.33995220032192e-12,4.73208402813932,4.48481207482503,4.41845060404884,4.36044401486458,5.18096904441833
54,6.38215515538007e-12,4.7270259863924,4.48932133431531,4.41705514545497,4.37965752012607,5.18791866435534
55,6.42435811043823e-12,4.74754725282503,4.49284247073898,4.44578580584588,4.37944907323334,5.21538866827023
56,6.46656106549638e-12,4.76962642057082,4.49614321578637,4.46923875142099,4.40875539754232,5.25856061647424
57,6.50876402055454e-12,4.82539993089887,4.51569130631479,4.47919075177666,4.34138594789139,5.26646731836018
58,6.55096697561269e-12,4.82364072471355,4.52228478849942,4.48304825756552,4.46036156966913,5.29061302703936
59,6.59316993067085e-12,4.82729990631974,4.56300191786223,4.49520586908636,4.45200328910257,5.33153564008003
60,6.635372885729e-12,4.75554929522025,4.49694065116847,4.48670388157886,4.49993729565352,5.34104866679512
61,6.67757584078716e-12,4.91125807369905,4.57108233953862,4.51395440536739,4.47889289721364,5.35703736196947
62,6.71977879584531e-12,4.89255933681923,4.57410821765544,4.48813960490709,4.42847222748962,5.36951924495131
63,6.76198175090347e-12,4.91049930325089,4.57694498965801,4.55243019663496,4.52277311888973,5.37773333932812
64,6.80418470596162e-12,4.89889489322055,4.62144001282403,4.55828183698004,4.52012703205192,5.41616113036947
65,6.84638766101978e-12,4.92378138172705,4.61979212283075,4.56103667670049,4.5568460268359,5.42657828126147
66,6.88859061607793e-12,4.95780195159369,4.61642442429718,4.5644453910195,4.58334003643167,5.4439183053726
67,6.93079357113609e-12,4.9677988052801,4.63180454202228,4.57934049382404,4.52700897796672,5.45155984600512
68,6.97299652619424e-12,5.00527857050408,4.65360504735435,4.59755436634193,4.59026554318629,5.45790453913854
69,7.0151994812524e-12,4.99853104881566,4.65631978960393,4.60981846131553,4.58261389378442,5.48617659955514
70,7.05740243631055e-12,5.0068558994452,4.67989729132628,4.63108691569417,4.61170629102152,5.51939268484195
71,7.09960539136871e-12,5.01155978755661,4.67876206975476,4.63665299918853,4.62682868225777,5.52856023953571
72,7.14180834642686e-12,5.04758763108567,4.72919579930454,4.63865785805726,4.63081973867103,5.53459766904379
73,7.18401130148502e-12,5.07677409465276,4.71667967512313,4.64726699635306,4.64800621065369,5.54083505432169
74,7.22621425654317e-12,5.09071262985576,4.79076809437677,4.67952069557734,4.62669759876949,5.60233388118185
75,7.26841721160133e-12,5.07561048363402,4.79073825619945,4.67734440572883,4.66606233119664,5.61006406908026
76,7.31062016665948e-12,5.09065827393413,4.80481686506405,4.69541421194271,4.66138535921083,5.61576935648599
77,7.35282312171764e-12,5.14417148644013,4.77338089087928,4.71506701864388,4.67715281532701,5.62337206179169
78,7.39502607677579e-12,5.14495568262676,4.7781358521947,4.75786720496407,4.69730006372551,5.6896881004376
79,7.43722903183395e-12,5.14684896903293,4.88368386504983,4.75938144191424,4.706049583502,5.70648810926661
80,7.4794319868921e-12,5.14003329489623,4.76650014285163,4.78354421379708,4.72675480795791,5.70270086641746
81,7.52163494195026e-12,5.16132028095382,4.83312367780943,4.77215898466651,4.74057658019101,5.77205852899291
82,7.56383789700841e-12,5.18238314199992,4.86707413748276,4.77037627474867,4.76337701675944,5.77758428624883
83,7.60604085206657e-12,5.24059527923328,4.87398209408954,4.83371798152898,4.7613959554511,5.7879833251826
84,7.64824380712472e-12,5.22373560803243,4.95943207250399,4.83540616260895,4.78569434311378,5.85076483432142
85,7.69044676218288e-12,5.24952007026339,4.86798465395139,4.81384146725787,4.80109845211722,5.85594799195118
86,7.73264971724103e-12,5.2642994902794,4.93997472267283,4.82588087999487,4.81526886088377,5.86198997535259
87,7.77485267229919e-12,5.24778387313857,4.95928574154769,4.91097270185452,4.84625129250856,5.92122579253315
88,7.81705562735734e-12,5.34703981497303,4.97587111677345,4.88630084901947,4.84581860267455,5.92745292768422
89,7.8592585824155e-12,5.32971858722327,4.98796220067246,4.88847394644645,4.85398153767448,5.93253521490908
90,7.90146153747365e-12,5.32465211051248,4.97565298640771,4.89606926184597,4.88679896315333,5.93784839350573
91,7.94366449253181e-12,5.32929630594934,5.01042935832416,4.92107715105908,4.91178738697158,5.95744345899748
92,7.98586744758996e-12,5.34989391877661,5.04875061425308,4.9880808079957,4.92417258352748,5.99182518894309
93,8.02807040264812e-12,5.38939225220206,4.99093599987205,4.92288815628858,4.91545653416981,6.00662648350155
94,8.07027335770628e-12,5.39124597015645,4.99212214162498,4.96545770446647,4.94609615825767,6.01195340680223
95,8.11247631276443e-12,5.41255065829078,5.08759244828122,5.02164360761145,4.9572353929557,6.01761880496591
96,8.15467926782258e-12,5.41616282501083,5.10027327188906,5.02495291764322,4.97486037348958,6.04318734855936
97,8.19688222288074e-12,5.43918836878325,5.11010164901926,4.98979791893545,4.99305428476281,6.08208521917159
98,8.23908517793889e-12,5.43962998577998,5.10268505932736,4.95886540791369,4.99161837026403,6.0887753398189
99,8.28128813299705e-12,5.46401531256609,5.09901048329438,5.0525503181735,5.01114547187513,6.09488136665687
100,8.32349108805521e-12,5.49202473945369,5.13991481155519,5.04272042258963,5.02483297427297,6.1068571105921
101,8.36569404311336e-12,5.50653407917192,5.07548432392518,5.08152806475236,5.03817020563272,6.14390536742153
102,8.40789699817151e-12,5.51163487123458,5.2048927926934,5.05731614469544,5.01480782510635,6.16932621572007
103,8.45009995322967e-12,5.51926449562377,5.17865417503597,5.08866270788154,5.07302533435936,6.17736838012011
