adc,\sigma_{sca} (m^{2})
0,-7.42499082203065e-12
1,-7.40435375097704e-12
2,-7.38371667992343e-12
3,-7.36307960886982e-12
4,-7.34244253781621e-12
5,-7.3218054667626e-12
6,-7.30116839570899e-12
7,-7.28053132465538e-12
8,-7.25989425360178e-12
9,-7.23925718254817e-12
10,-7.21862011149456e-12
11,-7.19798304044095e-12
12,-7.17734596938734e-12
13,-7.15670889833373e-12
14,-7.13607182728012e-12
15,-7.11543475622651e-12
16,-7.0947976851729e-12
17,-7.0741606141193e-12
18,-7.05352354306569e-12
19,-7.03288647201208e-12
20,-7.01224940095847e-12
21,-6.99161232990486e-12
22,-6.97097525885125e-12
23,-6.95033818779764e-12
24,-6.92970111674403e-12
25,-6.90906404569042e-12
26,-6.88842697463682e-12
27,-6.86778990358321e-12
28,-6.8471528325296e-12
29,-6.82651576147599e-12
30,-6.80587869042238e-12
31,-6.78524161936877e-12
32,-6.76460454831516e-12
33,-6.74396747726155e-12
34,-6.72333040620795e-12
35,-6.70269333515434e-12
36,-6.68205626410073e-12
37,-6.66141919304712e-12
38,-6.64078212199351e-12
39,-6.6201450509399e-12
40,-6.59950797988629e-12
41,-6.57887090883268e-12
42,-6.55823383777907e-12
43,-6.53759676672547e-12
44,-6.51695969567186e-12
45,-6.49632262461825e-12
46,-6.47568555356464e-12
47,-6.45504848251103e-12
48,-6.43441141145742e-12
49,-6.41377434040381e-12
50,-6.3931372693502e-12
51,-6.3725001982966e-12
52,-6.35186312724299e-12
53,-6.33122605618938e-12
54,-6.31058898513577e-12
55,-6.28995191408216e-12
56,-6.26931484302855e-12
57,-6.24867777197494e-12
58,-6.22804070092133e-12
59,-6.20740362986772e-12
60,-6.18676655881412e-12
61,-6.16612948776051e-12
62,-6.1454924167069e-12
63,-6.12485534565329e-12
64,-6.10421827459968e-12
65,-6.08358120354607e-12
66,-6.06294413249246e-12
67,-6.04230706143885e-12
68,-6.02166999038525e-12
69,-6.00103291933164e-12
70,-5.98039584827803e-12
71,-5.95975877722442e-12
72,-5.93912170617081e-12
73,-5.9184846351172e-12
74,-5.89784756406359e-12
75,-5.87721049300998e-12
76,-5.85657342195637e-12
77,-5.83593635090277e-12
78,-5.81529927984916e-12
79,-5.79466220879555e-12
80,-5.77402513774194e-12
81,-5.75338806668833e-12
82,-5.73275099563472e-12
83,-5.71211392458111e-12
84,-5.6914768535275e-12
85,-5.6708397824739e-12
86,-5.65020271142029e-12
87,-5.62956564036668e-12
88,-5.60892856931307e-12
89,-5.58829149825946e-12
90,-5.56765442720585e-12
91,-5.54701735615224e-12
92,-5.52638028509863e-12
93,-5.50574321404502e-12
94,-5.48510614299142e-12
95,-5.46446907193781e-12
96,-5.4438320008842e-12
97,-5.42319492983059e-12
98,-5.40255785877698e-12
99,-5.38192078772337e-12
100,-5.36128371666976e-12
101,-5.34064664561615e-12
102,-5.32000957456254e-12
103,-5.29937250350894e-12
104,-5.27873543245533e-12
105,-5.25809836140172e-12
106,-5.23746129034811e-12
107,-5.2168242192945e-12
108,-5.19618714824089e-12
109,-5.17555007718728e-12
110,-5.15491300613367e-12
111,-5.13427593508006e-12
112,-5.11363886402646e-12
113,-5.09300179297285e-12
114,-5.07236472191924e-12
115,-5.05172765086563e-12
116,-5.03109057981202e-12
117,-5.01045350875841e-12
118,-4.9898164377048e-12
119,-4.96917936665119e-12
120,-4.94854229559759e-12
121,-4.92790522454398e-12
122,-4.90726815349037e-12
123,-4.88663108243676e-12
124,-4.86599401138315e-12
125,-4.84535694032954e-12
126,-4.82471986927593e-12
127,-4.80408279822232e-12
128,-4.78344572716871e-12
129,-4.76280865611511e-12
130,-4.7421715850615e-12
131,-4.72153451400789e-12
132,-4.70089744295428e-12
133,-4.68026037190067e-12
134,-4.65962330084706e-12
135,-4.63898622979345e-12
136,-4.61834915873984e-12
137,-4.59771208768624e-12
138,-4.57707501663263e-12
139,-4.55643794557902e-12
140,-4.53580087452541e-12
141,-4.5151638034718e-12
142,-4.49452673241819e-12
143,-4.47388966136458e-12
144,-4.45325259031097e-12
145,-4.43261551925736e-12
146,-4.41197844820376e-12
147,-4.39134137715015e-12
148,-4.37070430609654e-12
149,-4.35006723504293e-12
150,-4.32943016398932e-12
151,-4.30879309293571e-12
152,-4.2881560218821e-12
153,-4.26751895082849e-12
154,-4.24688187977489e-12
155,-4.22624480872128e-12
156,-4.20560773766767e-12
157,-4.18497066661406e-12
158,-4.16433359556045e-12
159,-4.14369652450684e-12
160,-4.12305945345323e-12
161,-4.10242238239962e-12
162,-4.08178531134601e-12
163,-4.06114824029241e-12
164,-4.0405111692388e-12
165,-4.01987409818519e-12
166,-3.99923702713158e-12
167,-3.97859995607797e-12
168,-3.95796288502436e-12
169,-3.93732581397075e-12
170,-3.91668874291714e-12
171,-3.89605167186353e-12
172,-3.87541460080993e-12
173,-3.85477752975632e-12
174,-3.83414045870271e-12
175,-3.8135033876491e-12
176,-3.79286631659549e-12
177,-3.77222924554188e-12
178,-3.75159217448827e-12
179,-3.73095510343466e-12
180,-3.71031803238105e-12
181,-3.68968096132745e-12
182,-3.66904389027384e-12
183,-3.64840681922023e-12
184,-3.62776974816662e-12
185,-3.60713267711301e-12
186,-3.5864956060594e-12
187,-3.56585853500579e-12
188,-3.54522146395218e-12
189,-3.52458439289858e-12
190,-3.50394732184497e-12
191,-3.48331025079136e-12
192,-3.46267317973775e-12
193,-3.44203610868414e-12
194,-3.42139903763053e-12
195,-3.40076196657692e-12
196,-3.38012489552331e-12
197,-3.3594878244697e-12
198,-3.3388507534161e-12
199,-3.31821368236249e-12
200,-3.29757661130888e-12
201,-3.27693954025527e-12
202,-3.25630246920166e-12
203,-3.23566539814805e-12
204,-3.21502832709444e-12
205,-3.19439125604083e-12
206,-3.17375418498723e-12
207,-3.15311711393362e-12
208,-3.13248004288001e-12
209,-3.1118429718264e-12
210,-3.09120590077279e-12
211,-3.07056882971918e-12
212,-3.04993175866557e-12
213,-3.02929468761196e-12
214,-3.00865761655835e-12
215,-2.98802054550475e-12
216,-2.96738347445114e-12
217,-2.94674640339753e-12
218,-2.92610933234392e-12
219,-2.90547226129031e-12
220,-2.8848351902367e-12
221,-2.86419811918309e-12
222,-2.84356104812948e-12
223,-2.82292397707587e-12
224,-2.80228690602227e-12
225,-2.78164983496866e-12
226,-2.76101276391505e-12
227,-2.74037569286144e-12
228,-2.71973862180783e-12
229,-2.69910155075422e-12
230,-2.67846447970061e-12
231,-2.657827408647e-12
232,-2.6371903375934e-12
233,-2.61655326653979e-12
234,-2.59591619548618e-12
235,-2.57527912443257e-12
236,-2.55464205337896e-12
237,-2.53400498232535e-12
238,-2.51336791127174e-12
239,-2.49273084021813e-12
240,-2.47209376916452e-12
241,-2.45145669811092e-12
242,-2.43081962705731e-12
243,-2.4101825560037e-12
244,-2.38954548495009e-12
245,-2.36890841389648e-12
246,-2.34827134284287e-12
247,-2.32763427178926e-12
248,-2.30699720073565e-12
249,-2.28636012968205e-12
250,-2.26572305862844e-12
251,-2.24508598757483e-12
252,-2.22444891652122e-12
253,-2.20381184546761e-12
254,-2.183174774414e-12
255,-2.16253770336039e-12
256,-2.14190063230678e-12
257,-2.12126356125317e-12
258,-2.10062649019957e-12
259,-2.07998941914596e-12
260,-2.05935234809235e-12
261,-2.03871527703874e-12
262,-2.01807820598513e-12
263,-1.99744113493152e-12
264,-1.97680406387791e-12
265,-1.9561669928243e-12
266,-1.93552992177069e-12
267,-1.91489285071709e-12
268,-1.89425577966348e-12
269,-1.87361870860987e-12
270,-1.85298163755626e-12
271,-1.83234456650265e-12
272,-1.81170749544904e-12
273,-1.79107042439543e-12
274,-1.77043335334182e-12
275,-1.74979628228822e-12
276,-1.72915921123461e-12
277,-1.708522140181e-12
278,-1.68788506912739e-12
279,-1.66724799807378e-12
280,-1.64661092702017e-12
281,-1.62597385596656e-12
282,-1.60533678491295e-12
283,-1.58469971385934e-12
284,-1.56406264280574e-12
285,-1.54342557175213e-12
286,-1.52278850069852e-12
287,-1.50215142964491e-12
288,-1.4815143585913e-12
289,-1.46087728753769e-12
290,-1.44024021648408e-12
291,-1.41960314543047e-12
292,-1.39896607437687e-12
293,-1.37832900332326e-12
294,-1.35769193226965e-12
295,-1.33705486121604e-12
296,-1.31641779016243e-12
297,-1.29578071910882e-12
298,-1.27514364805521e-12
299,-1.2545065770016e-12
300,-1.23386950594799e-12
301,-1.21323243489439e-12
302,-1.19259536384078e-12
303,-1.17195829278717e-12
304,-1.15132122173356e-12
305,-1.13068415067995e-12
306,-1.11004707962634e-12
307,-1.08941000857273e-12
308,-1.06877293751912e-12
309,-1.04813586646551e-12
310,-1.02749879541191e-12
311,-1.0068617243583e-12
312,-9.86224653304688e-13
313,-9.65587582251079e-13
314,-9.4495051119747e-13
315,-9.24313440143862e-13
316,-9.03676369090253e-13
317,-8.83039298036644e-13
318,-8.62402226983035e-13
319,-8.41765155929426e-13
320,-8.21128084875817e-13
321,-8.00491013822209e-13
322,-7.798539427686e-13
323,-7.59216871714991e-13
324,-7.38579800661382e-13
325,-7.17942729607773e-13
326,-6.97305658554164e-13
327,-6.76668587500556e-13
328,-6.56031516446947e-13
329,-6.35394445393338e-13
330,-6.14757374339729e-13
331,-5.9412030328612e-13
332,-5.73483232232511e-13
333,-5.52846161178903e-13
334,-5.32209090125294e-13
335,-5.11572019071685e-13
336,-4.90934948018076e-13
337,-4.70297876964467e-13
338,-4.49660805910858e-13
339,-4.29023734857249e-13
340,-4.08386663803641e-13
341,-3.87749592750032e-13
342,-3.67112521696423e-13
343,-3.46475450642814e-13
344,-3.25838379589205e-13
345,-3.05201308535596e-13
346,-2.84564237481988e-13
347,-2.63927166428379e-13
348,-2.4329009537477e-13
349,-2.22653024321161e-13
350,-2.02015953267552e-13
351,-1.81378882213943e-13
352,-1.60741811160335e-13
353,-1.40104740106726e-13
354,-1.19467669053117e-13
355,-9.8830597999508e-14
356,-7.81935269458992e-14
357,-5.75564558922903e-14
358,-3.69193848386815e-14
359,-1.62823137850727e-14
360,4.35475726853616e-15
361,2.4991828322145e-14
362,4.56288993757538e-14
363,6.62659704293627e-14
364,8.69030414829715e-14
365,1.0754011253658e-13
366,1.28177183590189e-13
367,1.48814254643798e-13
368,1.69451325697407e-13
369,1.90088396751016e-13
370,2.10725467804625e-13
371,2.31362538858233e-13
372,2.51999609911842e-13
373,2.72636680965451e-13
374,2.9327375201906e-13
375,3.13910823072669e-13
376,3.34547894126278e-13
377,3.55184965179886e-13
378,3.75822036233495e-13
379,3.96459107287104e-13
380,4.17096178340713e-13
381,4.37733249394322e-13
382,4.58370320447931e-13
383,4.7900739150154e-13
384,4.99644462555148e-13
385,5.20281533608757e-13
386,5.40918604662366e-13
387,5.61555675715975e-13
388,5.82192746769584e-13
389,6.02829817823193e-13
390,6.23466888876801e-13
391,6.4410395993041e-13
392,6.64741030984019e-13
393,6.85378102037628e-13
394,7.06015173091237e-13
395,7.26652244144846e-13
396,7.47289315198454e-13
397,7.67926386252063e-13
398,7.88563457305672e-13
399,8.09200528359281e-13
400,8.2983759941289e-13
401,8.50474670466499e-13
402,8.71111741520107e-13
403,8.91748812573716e-13
404,9.12385883627325e-13
405,9.33022954680934e-13
406,9.53660025734543e-13
407,9.74297096788152e-13
408,9.9493416784176e-13
409,1.01557123889537e-12
410,1.03620830994898e-12
411,1.05684538100259e-12
412,1.0774824520562e-12
413,1.0981195231098e-12
414,1.11875659416341e-12
415,1.13939366521702e-12
416,1.16003073627063e-12
417,1.18066780732424e-12
418,1.20130487837785e-12
419,1.22194194943146e-12
420,1.24257902048507e-12
421,1.26321609153868e-12
422,1.28385316259228e-12
423,1.30449023364589e-12
