adc,ScatteringCross_section_m2,Water,Silica,Glass,PSL,Dust
0,-5.77677411463687e-12,NaN,NaN,NaN,NaN,NaN
1,-5.72477506385368e-12,NaN,NaN,NaN,NaN,NaN
2,-5.67277601307049e-12,NaN,NaN,NaN,NaN,NaN
3,-5.6207769622873e-12,NaN,NaN,NaN,NaN,NaN
4,-5.56877791150411e-12,NaN,NaN,NaN,NaN,NaN
5,-5.51677886072092e-12,NaN,NaN,NaN,NaN,NaN
6,-5.46477980993772e-12,NaN,NaN,NaN,NaN,NaN
7,-5.41278075915453e-12,NaN,NaN,NaN,NaN,NaN
8,-5.36078170837134e-12,NaN,NaN,NaN,NaN,NaN
9,-5.30878265758815e-12,NaN,NaN,NaN,NaN,NaN
10,-5.25678360680496e-12,NaN,NaN,NaN,NaN,NaN
11,-5.20478455602177e-12,NaN,NaN,NaN,NaN,NaN
12,-5.15278550523858e-12,NaN,NaN,NaN,NaN,NaN
13,-5.10078645445539e-12,NaN,NaN,NaN,NaN,NaN
14,-5.0487874036722e-12,NaN,NaN,NaN,NaN,NaN
15,-4.99678835288901e-12,NaN,NaN,NaN,NaN,NaN
16,-4.94478930210581e-12,NaN,NaN,NaN,NaN,NaN
17,-4.89279025132262e-12,NaN,NaN,NaN,NaN,NaN
18,-4.84079120053943e-12,NaN,NaN,NaN,NaN,NaN
19,-4.78879214975624e-12,NaN,NaN,NaN,NaN,NaN
20,-4.73679309897305e-12,NaN,NaN,NaN,NaN,NaN
21,-4.68479404818986e-12,NaN,NaN,NaN,NaN,NaN
22,-4.63279499740667e-12,NaN,NaN,NaN,NaN,NaN
23,-4.58079594662348e-12,NaN,NaN,NaN,NaN,NaN
24,-4.52879689584029e-12,NaN,NaN,NaN,NaN,NaN
25,-4.4767978450571e-12,NaN,NaN,NaN,NaN,NaN
26,-4.4247987942739e-12,NaN,NaN,NaN,NaN,NaN
27,-4.37279974349071e-12,NaN,NaN,NaN,NaN,NaN
28,-4.32080069270752e-12,NaN,NaN,NaN,NaN,NaN
29,-4.26880164192433e-12,NaN,NaN,NaN,NaN,NaN
30,-4.21680259114114e-12,NaN,NaN,NaN,NaN,NaN
31,-4.16480354035795e-12,NaN,NaN,NaN,NaN,NaN
32,-4.11280448957476e-12,NaN,NaN,NaN,NaN,NaN
33,-4.06080543879157e-12,NaN,NaN,NaN,NaN,NaN
34,-4.00880638800838e-12,NaN,NaN,NaN,NaN,NaN
35,-3.95680733722519e-12,NaN,NaN,NaN,NaN,NaN
36,-3.90480828644199e-12,NaN,NaN,NaN,NaN,NaN
37,-3.8528092356588e-12,NaN,NaN,NaN,NaN,NaN
38,-3.80081018487561e-12,NaN,NaN,NaN,NaN,NaN
39,-3.74881113409242e-12,NaN,NaN,NaN,NaN,NaN
40,-3.69681208330923e-12,NaN,NaN,NaN,NaN,NaN
41,-3.64481303252604e-12,NaN,NaN,NaN,NaN,NaN
42,-3.59281398174285e-12,NaN,NaN,NaN,NaN,NaN
43,-3.54081493095966e-12,NaN,NaN,NaN,NaN,NaN
44,-3.48881588017647e-12,NaN,NaN,NaN,NaN,NaN
45,-3.43681682939328e-12,NaN,NaN,NaN,NaN,NaN
46,-3.38481777861008e-12,NaN,NaN,NaN,NaN,NaN
47,-3.33281872782689e-12,NaN,NaN,NaN,NaN,NaN
48,-3.2808196770437e-12,NaN,NaN,NaN,NaN,NaN
49,-3.22882062626051e-12,NaN,NaN,NaN,NaN,NaN
50,-3.17682157547732e-12,NaN,NaN,NaN,NaN,NaN
51,-3.12482252469413e-12,NaN,NaN,NaN,NaN,NaN
52,-3.07282347391094e-12,NaN,NaN,NaN,NaN,NaN
53,-3.02082442312775e-12,NaN,NaN,NaN,NaN,NaN
54,-2.96882537234456e-12,NaN,NaN,NaN,NaN,NaN
55,-2.91682632156137e-12,NaN,NaN,NaN,NaN,NaN
56,-2.86482727077817e-12,NaN,NaN,NaN,NaN,NaN
57,-2.81282821999498e-12,NaN,NaN,NaN,NaN,NaN
58,-2.76082916921179e-12,NaN,NaN,NaN,NaN,NaN
59,-2.7088301184286e-12,NaN,NaN,NaN,NaN,NaN
60,-2.65683106764541e-12,NaN,NaN,NaN,NaN,NaN
61,-2.60483201686222e-12,NaN,NaN,NaN,NaN,NaN
62,-2.55283296607903e-12,NaN,NaN,NaN,NaN,NaN
63,-2.50083391529584e-12,NaN,NaN,NaN,NaN,NaN
64,-2.44883486451265e-12,NaN,NaN,NaN,NaN,NaN
65,-2.39683581372946e-12,NaN,NaN,NaN,NaN,NaN
66,-2.34483676294626e-12,NaN,NaN,NaN,NaN,NaN
67,-2.29283771216307e-12,NaN,NaN,NaN,NaN,NaN
68,-2.24083866137988e-12,NaN,NaN,NaN,NaN,NaN
69,-2.18883961059669e-12,NaN,NaN,NaN,NaN,NaN
70,-2.1368405598135e-12,NaN,NaN,NaN,NaN,NaN
71,-2.08484150903031e-12,NaN,NaN,NaN,NaN,NaN
72,-2.03284245824712e-12,NaN,NaN,NaN,NaN,NaN
73,-1.98084340746393e-12,NaN,NaN,NaN,NaN,NaN
74,-1.92884435668074e-12,NaN,NaN,NaN,NaN,NaN
75,-1.87684530589755e-12,NaN,NaN,NaN,NaN,NaN
76,-1.82484625511435e-12,NaN,NaN,NaN,NaN,NaN
77,-1.77284720433116e-12,NaN,NaN,NaN,NaN,NaN
78,-1.72084815354797e-12,NaN,NaN,NaN,NaN,NaN
79,-1.66884910276478e-12,NaN,NaN,NaN,NaN,NaN
