adc,\sigma_{sca} (m^{2})
0,3.78444789678723e-13
1,4.27354709770763e-13
2,4.76264629862803e-13
3,5.25174549954843e-13
4,5.74084470046883e-13
5,6.22994390138924e-13
6,6.71904310230964e-13
7,7.20814230323004e-13
8,7.69724150415044e-13
9,8.18634070507084e-13
10,8.67543990599124e-13
11,9.16453910691164e-13
12,9.65363830783204e-13
13,1.01427375087524e-12
14,1.06318367096728e-12
15,1.11209359105932e-12
16,1.16100351115136e-12
17,1.2099134312434e-12
18,1.25882335133544e-12
19,1.30773327142748e-12
20,1.35664319151952e-12
21,1.40555311161156e-12
22,1.4544630317036e-12
23,1.50337295179564e-12
24,1.55228287188769e-12
25,1.60119279197973e-12
26,1.65010271207177e-12
27,1.69901263216381e-12
28,1.74792255225585e-12
29,1.79683247234789e-12
30,1.84574239243993e-12
31,1.89465231253197e-12
32,1.94356223262401e-12
33,1.99247215271605e-12
34,2.04138207280809e-12
35,2.09029199290013e-12
36,2.13920191299217e-12
37,2.18811183308421e-12
38,2.23702175317625e-12
39,2.28593167326829e-12
40,2.33484159336033e-12
41,2.38375151345237e-12
42,2.43266143354441e-12
43,2.48157135363645e-12
44,2.53048127372849e-12
45,2.57939119382053e-12
46,2.62830111391257e-12
47,2.67721103400461e-12
48,2.72612095409665e-12
49,2.77503087418869e-12
50,2.82394079428073e-12
51,2.87285071437277e-12
52,2.92176063446481e-12
53,2.97067055455685e-12
54,3.01958047464889e-12
55,3.06849039474093e-12
56,3.11740031483297e-12
57,3.16631023492501e-12
58,3.21522015501705e-12
59,3.26413007510909e-12
60,3.31303999520113e-12
61,3.36194991529317e-12
62,3.41085983538521e-12
63,3.45976975547725e-12
64,3.50867967556929e-12
65,3.55758959566133e-12
66,3.60649951575337e-12
67,3.65540943584541e-12
68,3.70431935593745e-12
69,3.75322927602949e-12
70,3.80213919612153e-12
71,3.85104911621357e-12
72,3.89995903630561e-12
73,3.94886895639765e-12
74,3.99777887648969e-12
75,4.04668879658173e-12
76,4.09559871667377e-12
77,4.14450863676581e-12
78,4.19341855685785e-12
79,4.24232847694989e-12
80,4.29123839704193e-12
81,4.34014831713397e-12
82,4.38905823722601e-12
83,4.43796815731805e-12
84,4.48687807741009e-12
85,4.53578799750213e-12
86,4.58469791759417e-12
87,4.63360783768621e-12
88,4.68251775777825e-12
89,4.73142767787029e-12
90,4.78033759796233e-12
91,4.82924751805437e-12
92,4.87815743814641e-12
93,4.92706735823845e-12
94,4.97597727833049e-12
95,5.02488719842253e-12
96,5.07379711851457e-12
97,5.12270703860661e-12
98,5.17161695869865e-12
99,5.22052687879069e-12
100,5.26943679888273e-12
101,5.31834671897477e-12
102,5.36725663906681e-12
103,5.41616655915885e-12
104,5.46507647925089e-12
105,5.51398639934293e-12
106,5.56289631943497e-12
107,5.61180623952701e-12
108,5.66071615961905e-12
109,5.70962607971109e-12
110,5.75853599980313e-12
111,5.80744591989517e-12
112,5.85635583998721e-12
113,5.90526576007925e-12
114,5.95417568017129e-12
115,6.00308560026333e-12
116,6.05199552035537e-12
117,6.10090544044741e-12
118,6.14981536053945e-12
119,6.19872528063149e-12
120,6.24763520072353e-12
121,6.29654512081557e-12
122,6.34545504090761e-12
123,6.39436496099965e-12
124,6.44327488109169e-12
125,6.49218480118373e-12
126,6.54109472127577e-12
127,6.59000464136781e-12
128,6.63891456145985e-12
129,6.68782448155189e-12
130,6.73673440164393e-12
131,6.78564432173597e-12
132,6.83455424182801e-12
133,6.88346416192005e-12
134,6.93237408201209e-12
135,6.98128400210413e-12
136,7.03019392219617e-12
137,7.07910384228821e-12
138,7.12801376238025e-12
139,7.17692368247229e-12
140,7.22583360256433e-12
141,7.27474352265637e-12
142,7.32365344274841e-12
143,7.37256336284045e-12
144,7.42147328293249e-12
145,7.47038320302453e-12
146,7.51929312311657e-12
147,7.56820304320861e-12
