adc,ScatteringCross_section_m2,Water,Silica,Glass,PSL,Dust
10,-3.03426662228166e-11,NaN,NaN,NaN,NaN,NaN
92,-2.52148080857697e-11,NaN,NaN,NaN,NaN,NaN
208,-1.79607648675083e-11,NaN,NaN,NaN,NaN,NaN
328,-1.04565822279276e-11,NaN,NaN,NaN,NaN,NaN
451,-2.76479502235734e-12,NaN,NaN,NaN,NaN,NaN
578,5.17713160453228e-12,4.22530847340154,4.00990519729789,3.93526235888494,3.91232304749688,4.54365856093607
708,1.33066627974114e-11,7.01322671619351,6.57776861509929,6.41789729883454,6.37453057887153,8.37067021758291
842,2.16863334116099e-11,8.99915158350275,8.45281270057936,8.31298982665097,8.22657207711799,11.8628908541208
979,3.02536085917979e-11,10.6960451402051,9.99822440127924,9.84086145888423,9.73446462046888,15.6036784355149
1119,3.90084883379755e-11,12.1072024529924,11.445137505896,11.2055091937521,11.0948310054605,19.7757948777926
1263,4.80135075054724e-11,13.5059047002662,12.6380263433296,12.514727299097,12.3680399162059,24.7385032074242
1411,5.72686660942886e-11,14.8651031208404,13.9147673467081,13.6411899821115,13.5290598219955,NaN
1562,6.67114292490944e-11,16.0952078007176,15.0471267659459,14.6955219608379,14.5714053635814,NaN
1716,7.63417969698896e-11,17.1103286852578,16.0450670927128,15.8022577952659,15.6329759594227,NaN
1874,8.62223041120043e-11,18.2625227474603,17.0980977101353,16.7187427920673,16.6314893294176,NaN
4095,2.25112217799578e-10,29.6375444473031,27.8091265182191,27.2511552629944,27.018803893841,NaN
